-1-
北京市小客车指标调控管理信息系统
单位新能源指标配置
期号：201601
描述：2016年第01期单位示范应用新能源小客车指标配置结果
指标配置日期：2016-02-26
实际指标配置时间：2016-02-26 10:21:35
有效编码总数：1819
指标配置总数：1819
-指标配置列表-
轮候序号 轮候时间 申请编码
408 2016-01-06 14:54:15.790 3730105328209
409 2016-01-06 14:56:14.324 2566105328215
410 2016-01-06 14:59:58.379 0454105328264
411 2016-01-06 15:18:21.311 2492105398920
412 2016-01-06 15:30:22.398 6655105328596
413 2016-01-06 15:36:38.597 3765105328655
414 2016-01-06 15:36:38.597 0652105328656
415 2016-01-06 15:47:19.182 9691105328745
416 2016-01-06 16:02:44.230 8968105328891
417 2016-01-06 16:11:53.285 3862105328961
418 2016-01-06 16:14:22.178 3150105329008
419 2016-01-06 16:34:43.736 1293105329224
420 2016-01-06 16:35:31.782 1101105329236
421 2016-01-06 16:35:31.782 3396105329237
422 2016-01-06 16:35:31.782 9113105329238
423 2016-01-06 16:35:31.782 2354105329239
424 2016-01-06 16:35:31.782 0043105329240
425 2016-01-06 16:40:10.886 6341105329287
426 2016-01-06 16:42:49.652 7667105329318
427 2016-01-06 16:51:37.590 3188105329409
428 2016-01-06 16:52:00.841 4505105337646
429 2016-01-06 16:52:00.841 4696105337647
430 2016-01-06 16:52:00.841 2917105337648
431 2016-01-06 16:52:00.841 6058105337699
432 2016-01-06 16:52:00.841 2915105337700
433 2016-01-06 16:53:48.720 1472105329436
434 2016-01-06 16:53:48.720 8445105329437
435 2016-01-06 17:19:51.255 6127105329676
436 2016-01-06 17:20:37.440 5010105329678
437 2016-01-06 17:21:42.460 4439105329705
438 2016-01-06 17:26:19.969 8704105329722
439 2016-01-06 17:30:31.964 3307105329733
440 2016-01-06 17:48:14.848 6678105329832
-13-
441 2016-01-06 18:01:35.440 1403105329871
442 2016-01-06 18:03:33.908 0401105329877
443 2016-01-06 18:10:09.558 7841105329900
444 2016-01-06 18:25:44.622 6360105329921
445 2016-01-06 18:44:41.261 3198105330019
446 2016-01-06 19:23:52.200 8866105330148
447 2016-01-06 19:40:26.557 5991105365291
448 2016-01-06 19:40:26.557 2971105365292
449 2016-01-06 19:40:26.557 7080105365293
450 2016-01-06 19:40:26.557 1628105365294
451 2016-01-06 19:44:07.526 8366105330218
452 2016-01-06 19:45:38.798 2587105365593
453 2016-01-06 19:45:38.798 3213105365594
454 2016-01-06 19:45:38.798 6485105365595
455 2016-01-06 19:45:38.798 8539105365596
456 2016-01-06 19:49:40.284 4427105330249
457 2016-01-06 19:58:58.582 7097105365431
458 2016-01-06 19:58:58.582 5379105365432
459 2016-01-06 19:58:58.582 2587105365433
460 2016-01-06 19:58:58.582 2395105365434
461 2016-01-07 08:44:23.983 4699105331029
462 2016-01-07 08:52:28.696 7711105331086
463 2016-01-07 09:21:46.379 9453105331278
464 2016-01-07 09:37:59.456 1430105331375
465 2016-01-07 10:19:54.535 2095105331816
466 2016-01-07 10:30:07.494 7456105331905
467 2016-01-07 10:30:07.494 5294105331906
468 2016-01-07 10:38:17.400 6836105331959
469 2016-01-07 10:50:18.200 2984105332129
470 2016-01-07 11:06:56.700 8374105332348
471 2016-01-07 11:06:56.700 6897105332349
472 2016-01-07 11:19:14.238 9764105332437
473 2016-01-07 11:20:37.398 1498105332467
474 2016-01-07 11:22:10.859 1725105332486
475 2016-01-07 11:22:10.859 5696105332487
476 2016-01-07 11:27:25.560 5202105332531
477 2016-01-07 11:27:25.560 8678105332532
478 2016-01-07 11:32:45.841 2016105332586
-14-
479 2016-01-07 11:36:23.682 3338105332604
480 2016-01-07 11:47:15.315 1426105332690
481 2016-01-07 11:52:06.741 5921105332735
482 2016-01-07 12:01:09.630 8762105332783
483 2016-01-07 12:18:17.940 3341105332863
484 2016-01-07 12:26:17.528 5601105332944
485 2016-01-07 12:30:10.328 0119105332956
486 2016-01-07 12:37:10.857 3813105332982
487 2016-01-07 13:32:11.214 1512105333305
488 2016-01-07 14:14:17.137 2477105333602
489 2016-01-07 14:19:59.194 7467105333683
490 2016-01-07 14:22:48.453 1055105333711
491 2016-01-07 14:30:44.922 9027105333759
492 2016-01-07 14:36:20.111 3739105333838
493 2016-01-07 14:36:20.111 0757105333839
494 2016-01-07 14:36:20.111 7310105333840
